index,category
0,country_support
1,country_support
2,country_support
3,country_support
4,country_support
5,country_support
6,country_support
7,country_support
8,country_support
9,country_support
10,country_support
11,country_support
12,country_support
13,country_support
14,country_support
15,country_support
16,country_support
17,country_support
18,country_support
19,country_support
20,country_support
21,country_support
22,country_support
23,country_support
24,country_support
25,country_support
26,country_support
27,country_support
28,country_support
29,country_support
30,country_support
31,country_support
32,country_support
33,country_support
34,country_support
35,country_support
36,country_support
37,country_support
38,country_support
39,country_support
40,country_support
41,country_support
42,country_support
43,country_support
44,country_support
45,country_support
46,country_support
47,country_support
48,country_support
49,country_support
50,country_support
51,country_support
52,country_support
53,country_support
54,country_support
55,country_support
56,country_support
57,country_support
58,country_support
59,country_support
60,country_support
61,country_support
62,country_support
63,country_support
64,country_support
65,country_support
66,country_support
67,country_support
68,country_support
69,country_support
70,country_support
71,country_support
72,country_support
73,country_support
74,country_support
75,country_support
76,country_support
77,country_support
78,country_support
79,country_support
80,country_support
81,country_support
82,country_support
83,country_support
84,country_support
85,country_support
86,country_support
87,country_support
88,country_support
89,country_support
90,country_support
91,country_support
92,country_support
93,country_support
94,country_support
95,country_support
96,country_support
97,country_support
98,country_support
99,country_support
100,country_support
101,country_support
102,country_support
103,country_support
104,country_support
105,country_support
106,country_support
107,country_support
108,country_support
109,country_support
110,country_support
111,country_support
112,country_support
113,country_support
114,country_support
115,country_support
116,country_support
117,country_support
118,country_support
119,country_support
120,country_support
121,country_support
122,country_support
123,country_support
124,country_support
125,country_support
126,country_support
127,country_support
128,country_support
129,country_support
130,country_support
131,country_support
132,country_support
133,country_support
134,country_support
135,country_support
136,country_support
137,country_support
138,country_support
139,country_support
140,country_support
141,country_support
142,country_support
143,country_support
144,country_support
145,country_support
146,country_support
147,country_support
148,country_support
149,country_support
150,country_support
151,country_support
152,country_support
153,country_support
154,country_support
155,country_support
156,country_support
157,country_support
158,country_support
159,country_support
160,country_support
161,country_support
162,country_support
163,country_support
164,country_support
165,country_support
166,country_support
167,country_support
168,country_support
169,country_support
170,country_support
171,country_support
172,country_support
173,country_support
174,country_support
175,country_support
176,country_support
177,country_support
178,country_support
179,country_support
180,country_support
181,country_support
182,country_support
183,country_support
184,country_support
185,country_support
186,country_support
187,country_support
188,country_support
189,country_support
190,country_support
191,country_support
192,country_support
193,country_support
194,country_support
195,country_support
196,country_support
197,country_support
198,country_support
199,country_support
200,country_support
201,country_support
202,country_support
203,country_support
204,country_support
205,country_support
206,country_support
207,country_support
208,country_support
209,country_support
210,country_support
211,country_support
212,country_support
213,country_support
214,country_support
215,country_support
216,country_support
217,country_support
218,country_support
219,country_support
220,country_support
221,country_support
222,country_support
223,country_support
224,country_support
225,country_support
226,country_support
227,country_support
228,country_support
229,country_support
230,country_support
231,country_support
232,country_support
233,country_support
234,country_support
235,country_support
236,country_support
237,country_support
238,country_support
239,country_support
240,country_support
241,country_support
242,country_support
243,country_support
244,country_support
245,country_support
246,country_support
247,country_support
248,country_support
249,country_support
250,country_support
251,country_support
252,country_support
253,country_support
254,country_support
255,country_support
256,country_support
257,country_support
258,country_support
259,country_support
260,country_support
261,country_support
262,country_support
263,country_support
264,country_support
265,country_support
266,country_support
267,country_support
268,country_support
269,country_support
270,country_support
271,country_support
272,country_support
273,country_support
274,country_support
275,country_support
276,country_support
277,country_support
278,country_support
279,country_support
280,country_support
281,country_support
282,country_support
283,country_support
284,country_support
285,country_support
286,country_support
287,country_support
288,country_support
289,country_support
290,country_support
291,country_support
292,country_support
293,country_support
294,country_support
295,country_support
296,country_support
297,country_support
298,country_support
299,country_support
300,country_support
301,country_support
302,country_support
303,country_support
304,country_support
305,country_support
306,country_support
307,country_support
308,country_support
309,country_support
310,country_support
311,country_support
312,country_support
313,country_support
314,country_support
315,country_support
316,country_support
317,country_support
318,country_support
319,country_support
320,country_support
321,country_support
322,country_support
323,country_support
324,country_support
325,country_support
326,country_support
327,country_support
328,country_support
329,country_support
330,country_support
331,country_support
332,country_support
333,country_support
334,country_support
335,country_support
336,country_support
337,country_support
338,country_support
339,country_support
340,country_support
341,country_support
342,country_support
343,country_support
344,country_support
345,country_support
346,country_support
347,country_support
348,country_support
349,country_support
350,country_support
351,country_support
352,country_support
353,country_support
354,country_support
355,country_support
356,country_support
357,country_support
358,country_support
359,country_support
360,country_support
361,country_support
362,country_support
363,country_support
364,country_support
365,country_support
366,country_support
367,country_support
368,country_support
369,country_support
370,country_support
371,country_support
372,country_support
373,country_support
374,country_support
375,country_support
376,country_support
377,country_support
378,country_support
379,country_support
380,country_support
381,country_support
382,country_support
383,country_support
384,country_support
385,country_support
386,country_support
387,country_support
388,country_support
389,country_support
390,country_support
391,country_support
392,country_support
393,country_support
394,country_support
395,country_support
396,country_support
397,country_support
398,country_support
399,country_support
400,country_support
401,country_support
402,country_support
403,country_support
404,country_support
405,country_support
406,country_support
407,country_support
408,country_support
409,country_support
410,country_support
411,country_support
412,country_support
413,country_support
414,country_support
415,country_support
416,country_support
417,country_support
418,country_support
419,country_support
420,country_support
421,country_support
422,country_support
423,country_support
424,country_support
425,country_support
426,country_support
427,country_support
428,country_support
429,country_support
430,country_support
