Label,  Latin Name           , Common Name                   , Train Images , Validation Images
0   , alouatta_palliata	 , mantled_howler                , 131          , 26
1   , erythrocebus_patas	 , patas_monkey                  , 139          , 28
2   , cacajao_calvus	     , bald_uakari                   , 137          , 27
3   , macaca_fuscata	     , japanese_macaque              , 152          , 30
4   , cebuella_pygmea	     , pygmy_marmoset                , 131          , 26
5   , cebus_capucinus	     , white_headed_capuchin         , 141          , 28
6   , mico_argentatus	     , silvery_marmoset              , 132          , 26
7   , saimiri_sciureus	     , common_squirrel_monkey        , 142          , 28
8   , aotus_nigriceps	     , black_headed_night_monkey     , 133          , 27
9   , trachypithecus_johnii , nilgiri_langur                , 132          , 26












